,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
87,88,702,538,C2-Adipocites (2).tif,11372,2684.283,1869.76,1017.987,2605,1788,143,160,164.128,88.219,124.866,189.708,255,100,2615,1788,123.60600000000001,105.911,0.497
88,89,703,711,C2-Adipocites (2).tif,12172,3492.9959999999996,2517.345,2029.104,3413,2397,148,204,146.775,105.589,65.929,205.183,255,100,3476,2601,83.845,146.851,0.4032
89,90,704,315,C2-Adipocites (2).tif,12185,998.085,1172.4189999999999,1331.124,935,1102,126,166,150.474,103.104,81.84,175.02599999999998,255,100,971,1256,60.945,117.914,0.5826
90,92,706,137,C2-Adipocites (2).tif,12343,2363.525,752.038,1741.641,2279,668,168,166,155.661,100.96,35.311,178.86900000000003,255,100,2295,810,40.010999999999996,132.05700000000002,0.4426
91,93,707,326,C2-Adipocites (2).tif,12823,2785.065,1221.599,978.046,2720,1144,131,155,148.904,109.646,70.888,165.46900000000002,255,100,2746,1293,63.435,121.86,0.6315
92,94,708,77,C2-Adipocites (2).tif,13184,3217.9709999999995,465.18699999999995,2141.891,3137,375,153,166,131.31,127.838,64.291,178.61700000000002,255,100,3160,534,55.95399999999999,152.827,0.5191
93,95,709,29,C2-Adipocites (2).tif,13101,3425.19,238.03799999999998,1713.156,3350,146,153,170,142.474,117.079,102.022,171.977,255,100,3426,146,98.696,146.014,0.5037
94,96,710,224,C2-Adipocites (2).tif,13374,1869.918,944.591,1942.979,1788,869,165,159,136.591,124.666,94.086,185.648,255,100,1823,1025,54.426,155.629,0.5098
95,97,711,141,C2-Adipocites (2).tif,13179,3937.053,754.8889999999999,1099.484,3875,675,130,167,147.645,113.65100000000001,98.448,167.356,255,100,3904,680,104.53399999999999,125.546,0.607
96,98,712,536,C2-Adipocites (2).tif,13347,847.2819999999999,1862.089,1085.016,778,1786,142,147,141.071,120.464,120.552,162.34799999999998,255,100,812,1787,115.934,139.984,0.6394
97,99,713,378,C2-Adipocites (2).tif,13409,2765.1609999999996,1383.275,865.9630000000001,2690,1310,149,146,138.873,122.939,126.93299999999999,151.634,255,100,2690,1374,167.43,130.97299999999998,0.6164
98,100,714,364,C2-Adipocites (2).tif,13378,3495.235,1362.996,1444.521,3421,1280,151,161,148.97,114.34100000000001,97.09200000000001,171.84,255,100,3443,1307,135.707,147.03799999999998,0.5503
99,101,715,728,C2-Adipocites (2).tif,13470,2609.609,2592.596,1103.786,2524,2527,163,131,146.42600000000002,117.12799999999999,7.995,168.68,255,100,2524,2622,16.179000000000002,129.869,0.6308
100,102,716,200,C2-Adipocites (2).tif,13587,3750.808,911.065,1260.354,3687,829,130,156,145.375,118.999,101.806,160.378,255,100,3717,840,119.92200000000001,129.334,0.67
