 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret
6524,untitled3_green_thresh.tif:Green,1.458,19.519,9.821,12.358,18.562,9.021,1.781,1.667,1.496,1.240,110.389,1.783,0,1782,951,2.344,1.588
6525,untitled3_green_thresh.tif:Green,1.464,41.004,7.856,9.690,40.333,7.052,1.385,1.719,1.515,1.231,99.760,1.722,0,3931,841,82.703,1.318
6526,untitled3_green_thresh.tif:Green,1.472,31.051,26.972,13.419,30.104,26.156,1.917,1.708,1.857,1.010,139.741,2.040,0,2898,2549,153.958,1.342
6527,untitled3_green_thresh.tif:Green,1.473,25.457,22.366,10.828,24.583,21.531,1.521,1.656,1.570,1.194,111.947,1.751,0,2392,2083,122.367,1.398
6528,untitled3_green_thresh.tif:Green,1.480,27.188,26.989,8.585,26.281,26.312,1.708,1.354,1.556,1.211,8.944,1.786,0,2523,2621,16.955,1.339
6529,untitled3_green_thresh.tif:Green,1.488,30.056,21.837,6.985,29.208,21.188,1.615,1.438,1.623,1.168,148.388,1.783,0,2810,2052,135.474,1.277
6530,untitled3_green_thresh.tif:Green,1.491,8.807,19.406,6.912,8.104,18.646,1.375,1.500,1.469,1.293,113.451,1.694,0,803,1793,119.876,1.344
6531,untitled3_green_thresh.tif:Green,1.492,17.883,9.128,13.142,17.156,8.156,1.500,1.896,1.518,1.252,75.622,1.996,0,1694,965,70.809,1.415
6532,untitled3_green_thresh.tif:Green,1.497,39.084,9.480,8.441,38.396,8.635,1.365,1.604,1.538,1.240,106.731,1.670,0,3706,847,124.582,1.348
6533,untitled3_green_thresh.tif:Green,1.502,31.356,16.280,8.097,30.469,15.542,1.719,1.458,1.817,1.053,147.235,1.870,0,2929,1524,151.007,1.139
6534,untitled3_green_thresh.tif:Green,1.504,6.352,22.181,5.921,5.646,21.260,1.573,1.604,1.679,1.140,135.512,1.797,0,570,2041,124.611,1.169
6535,untitled3_green_thresh.tif:Green,1.505,28.608,28.543,6.281,27.760,27.771,1.688,1.521,1.781,1.076,146.210,1.903,0,2668,2694,150.489,1.152
6536,untitled3_green_thresh.tif:Green,1.517,19.203,14.095,9.778,18.438,13.250,1.438,1.615,1.494,1.292,91.994,1.706,0,1822,1272,108.877,1.432
6537,untitled3_green_thresh.tif:Green,1.519,36.416,14.182,11.555,35.646,13.323,1.573,1.688,1.561,1.238,96.693,1.790,0,3442,1308,136.179,1.573
6538,untitled3_green_thresh.tif:Green,1.539,36.960,7.105,9.347,36.219,6.240,1.417,1.688,1.601,1.223,131.014,1.797,0,3520,602,112.850,1.400
6539,untitled3_green_thresh.tif:Green,1.542,36.265,19.121,7.404,35.375,18.271,1.729,1.573,1.584,1.240,35.427,1.921,0,3396,1899,32.829,1.431
6540,untitled3_green_thresh.tif:Green,1.544,31.217,2.711,10.934,30.521,1.865,1.469,1.646,1.510,1.302,46.786,1.733,0,2955,328,59.273,1.457
6541,untitled3_green_thresh.tif:Green,1.548,24.574,7.855,15.350,23.708,6.948,1.781,1.740,1.575,1.251,44.131,1.850,0,2291,804,37.451,1.524
6542,untitled3_green_thresh.tif:Green,1.549,17.507,29.109,6.813,16.833,28.250,1.510,1.615,1.482,1.331,92.662,1.629,0,1658,2867,82.284,1.473
6543,untitled3_green_thresh.tif:Green,1.554,37.926,5.565,10.596,37.219,4.656,1.521,1.875,1.747,1.132,73.229,1.901,0,3634,627,80.538,1.289
6544,untitled3_green_thresh.tif:Green,1.564,27.687,11.759,9.072,26.948,10.938,1.479,1.646,1.617,1.232,113.789,1.762,0,2614,1058,118.989,1.408
6545,untitled3_green_thresh.tif:Green,1.565,41.446,14.327,7.246,40.760,13.469,1.448,1.698,1.662,1.199,68.303,1.751,0,3934,1448,67.249,1.356
6546,untitled3_green_thresh.tif:Green,1.567,33.145,16.648,8.023,32.333,15.844,1.604,1.583,1.587,1.257,135.733,1.778,0,3110,1560,144.540,1.334
6547,untitled3_green_thresh.tif:Green,1.591,14.316,8.039,9.064,13.698,7.062,1.385,1.854,1.781,1.137,99.374,1.867,0,1359,855,81.011,1.368
