 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Mean Diameter,,Bounding Box Area,,Bounding Box Area %,,Bins
102,Image 5.tif (green),352,2110.955,1257.111,88.184,2097,1247,29,19,29.964,14.957,166.312,30.017,255,100,2099,1250,150.018,18.239,,,,,,,
278,Image 5.tif (green),354,3229.678,1976.302,98.426,3216,1963,25,29,30.743,14.661,43.531,35.805,255,100,3218,1992,54.09,20.884,,,,,,,
198,Image 5.tif (green),355,3460.999,1589.103,137.598,3440,1574,33,30,30.037,15.048,45.707,43.932,255,100,3440,1603,41.309,23.297,,,,,,,
266,Image 5.tif (green),358,1112.813,1888.74,131.598,1107,1863,14,49,41.595,10.958,91.091,49.254,255,100,1107,1863,95.826,14,,,,,,,
56,Image 5.tif (green),360,1864.775,1022.681,126.184,1855,1004,23,38,33.08,13.856,85.64,39.294,255,100,1862,1042,75.256,21.913,,,,,,,
368,Image 5.tif (green),360,2876.5,2396.711,106.184,2869,2381,22,37,29.324,15.631,84.469,37.483,255,100,2871,2381,99.211,22,,,,,,,
294,Image 5.tif (green),365,1324.958,2079.686,110.77,1309,2067,25,29,26.297,17.673,116.345,31.906,255,100,1315,2068,122.196,24.865,,,,,,,
324,Image 5.tif (green),370,1670.054,2225.257,92.527,1656,2211,24,28,25.408,18.542,110.814,30.414,255,100,1657,2218,136.332,22.34,,,,,,,
149,Image 5.tif (green),377,3446.67,1410.259,92.284,3433,1399,26,23,26.479,18.128,37.963,32.016,255,100,3433,1422,38.66,21.615,,,,,,,
297,Image 5.tif (green),382,3285.615,2091.738,106.669,3268,2080,35,23,32.702,14.873,162.428,35.903,255,100,3268,2083,167.125,19.23,,,,,,,
322,Image 5.tif (green),391,414.996,2211.738,154.912,401,2202,39,22,31.109,16.003,178.584,42.953,255,100,401,2220,24.775,22,,,,,,,
211,Image 5.tif (green),396,1673.351,1643.174,115.012,1664,1628,22,37,29.142,17.302,67.821,37.643,255,100,1665,1665,73.009,22,,,,,,,
154,Image 5.tif (green),404,2165.347,1435.933,139.154,2149,1414,33,38,40.683,12.644,121.151,48.104,255,100,2149,1416,133.315,20.343,,,,,,,
128,Image 5.tif (green),407,2208.09,1353.475,123.497,2189,1338,35,31,24.354,21.278,33.545,36.401,255,100,2189,1355,15.945,26.436,,,,,,,
350,Image 5.tif (green),420,1805.755,2318.312,86.669,1794,2304,26,27,25.095,21.309,56.588,27.893,255,100,1798,2331,75.466,23.191,,,,,,,
138,Image 5.tif (green),423,1543.878,1392.703,131.255,1522,1380,45,25,42.128,12.785,30.323,49.659,255,100,1522,1402,25.017,20.094,,,,,,,
225,Image 5.tif (green),424,3322.245,1685.849,159.397,3293,1675,51,20,46.337,11.651,179.142,51.245,255,100,3293,1690,5.599,17.295,,,,,,,
24,Image 5.tif (green),433,3412.158,838.987,161.397,3393,829,37,28,28.778,19.157,167.18,38.079,255,100,3393,842,13.671,27.699,,,,,,,
15,Image 5.tif (green),445,3401.918,787.576,176.61,3377,773,54,29,46.202,12.263,18.905,56.613,255,100,3377,800,17.475,22.059,,,,,,,
387,Image 5.tif (green),445,1990.767,2539.945,140.711,1974,2515,34,47,35.01,16.184,58.474,49.98,255,100,1989,2562,70.115,26.161,,,,,,,
425,Image 5.tif (green),451,2993.338,2857.855,101.841,2979,2847,29,24,24.657,23.289,6.983,30.017,255,100,2980,2849,150.018,23.72,,,,,,,
68,Image 5.tif (green),464,1700.409,1082.461,113.598,1685,1065,31,30,31.611,18.689,134.331,37.643,255,100,1692,1066,129.611,24.157,,,,,,,
416,Image 5.tif (green),467,2553.254,2716.613,111.941,2537,2701,28,27,25.809,23.039,133.596,38.21,255,100,2537,2702,137.121,26.372,,,,,,,
295,Image 5.tif (green),471,3192.118,2087.98,165.64,3169,2069,41,37,37.109,16.161,44.407,47.508,255,100,3169,2098,30.343,23.009,,,,,,,
220,Image 5.tif (green),475,3012.791,1679.742,131.74,2989,1664,42,29,37.827,15.988,152.804,47.202,255,100,2989,1664,143.616,20.049,,,,,,,
2,Image 5.tif (green),483,3630.506,629.572,115.598,3610,619,38,23,32.062,19.181,178.001,40.853,255,100,3610,627,158.459,23,,,,,,,
408,Image 5.tif (green),486,2846.564,2677.885,137.012,2830,2664,43,29,35.471,17.445,31.578,44.294,255,100,2834,2693,28.301,25.14,,,,,,,
