, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
78,79,hfd28 ep1 tip.tif  (red) thresh.tif,3334,2655.446,522.679,332.836,2617,486,75,71,71.887,59.051,159.063,87.727,255,100,2622,486,133.15200000000002,66.994,0.6261
79,80,hfd28 ep1 tip.tif  (red) thresh.tif,8725,3825.788,555.86,982.465,3747,489,156,143,152.861,72.67399999999999,142.252,170.018,255,100,3783,491,123.97,105.053,0.3911
80,81,hfd28 ep1 tip.tif  (red) thresh.tif,3684,4038.887,544.511,329.664,4001,503,75,82,80.991,57.915,53.448,84.906,255,100,4003,566,32.005,64.555,0.599
81,82,hfd28 ep1 tip.tif  (red) thresh.tif,10838,3129.797,605.755,1458.8570000000002,3056,510,128,189,163.028,84.64399999999999,80.296,210.19,255,100,3061,699,63.435,125.24799999999999,0.448
82,83,hfd28 ep1 tip.tif  (red) thresh.tif,4057,2318.982,570.08,600.759,2281,514,86,93,76.31,67.692,18.832,106.23100000000001,255,100,2288,605,56.908,81.991,0.5073
83,84,hfd28 ep1 tip.tif  (red) thresh.tif,6740,2412.75,574.123,538.0319999999999,2363,522,104,106,94.71600000000001,90.603,96.01799999999999,112.929,255,100,2372,528,140.389,100.76100000000001,0.6114
84,85,hfd28 ep1 tip.tif  (red) thresh.tif,3191,3953.312,560.445,382.49199999999996,3910,526,82,69,67.735,59.982,172.467,82.87299999999999,255,100,3910,568,171.674,64.993,0.564
85,86,hfd28 ep1 tip.tif  (red) thresh.tif,3729,2235.9539999999997,592.56,668.701,2198,538,73,106,93.881,50.574,69.443,108.853,255,100,2211,642,66.732,66.078,0.4819
86,87,hfd28 ep1 tip.tif  (red) thresh.tif,8272,2705.421,620.779,736.299,2657,553,109,134,118.214,89.095,72.61399999999999,135.484,255,100,2693,687,81.51100000000001,108.05799999999999,0.5663
87,88,hfd28 ep1 tip.tif  (red) thresh.tif,9393,2594.044,619.354,599.1030000000001,2534,555,113,130,112.836,105.991,67.813,132.774,255,100,2568,685,78.267,110.21,0.6394
88,89,hfd28 ep1 tip.tif  (red) thresh.tif,5709,3231.2340000000004,610.9069999999999,655.487,3185,555,89,102,94.70299999999999,76.755,103.289,111.508,255,100,3197,656,60.446000000000005,86.18,0.6289
89,90,hfd28 ep1 tip.tif  (red) thresh.tif,7663,3450.1479999999997,620.045,829.2689999999999,3388,555,114,116,106.676,91.462,62.703,133.6,255,100,3394,667,53.216,104.432,0.5795
90,91,hfd28 ep1 tip.tif  (red) thresh.tif,5988,3611.553,611.737,480.96,3564,560,94,110,96.65299999999999,78.882,114.425,110.766,255,100,3604,560,96.74,83.06,0.5791
91,92,hfd28 ep1 tip.tif  (red) thresh.tif,9556,3701.335,652.694,977.235,3618,568,152,167,172.878,70.38,62.637,186.067,255,100,3656,733,62.471000000000004,108.696,0.3765
92,93,hfd28 ep1 tip.tif  (red) thresh.tif,3155,2502.931,616.133,411.22,2466,570,64,88,74.265,54.091,85.461,88.051,255,100,2514,570,91.95299999999999,60.626999999999995,0.5602
93,94,hfd28 ep1 tip.tif  (red) thresh.tif,4183,3013.869,622.7130000000001,522.09,2968,580,92,82,81.35300000000001,65.468,32.592,98.234,255,100,2969,640,22.125999999999998,77.976,0.5545
94,95,hfd28 ep1 tip.tif  (red) thresh.tif,5643,2147.825,642.896,716.742,2106,589,83,115,96.62899999999999,74.355,77.393,119.921,255,100,2130,704,65.358,82.214,0.5912
